IS_Number,Title,Section,Year_Notified,ICS_Code,Status,Applicable_To,Scope_Description
IS 4069:1992,Methods of test f,Civil Engineering,1992,63.072,Active,bitumen for roads,"Applicable to bitumen for roads manufactured, teste"
IS 3928:2008,Code of practice,Textile,2008,86.057,Under Revision,textile dyeing me,"Applicable to textile dyeing methods manufactured,"
IS 1239-2:2019,Performance req,Production and G,2019,30.057,Under Revision,engineering draw,Applicable to engineering drawing practices manufa
IS 1806-2:2019,Specification for,Water Resources,2019,46.027,Active,irrigation equipm,"Applicable to irrigation equipment manufactured, te"
IS 4057:1994,Code of practice,Civil Engineering,1994,42.057,Withdrawn,tiles and flooring,"Applicable to tiles and flooring manufactured, tested"
IS 426-6:2009,Safety requireme,Management and,2009,77.014,Under Revision,risk managemen,Applicable to risk management guidelines manufac
IS 4083-2:2019,Specification for,"Petroleum, Coal",2019,73.05,Active,lubricants for eng,"Applicable to lubricants for engines manufactured,"
IS 1281-2:1999,Sampling and tes,Production and G,1999,72.059,Active,quality control sa,Applicable to quality control sampling methods man
IS 1821-5:2020,Code of practice,Water Resources,2020,46.027,Active,irrigation equipm,"Applicable to irrigation equipment manufactured, te"
IS 4068-4:2023,Sampling and tes,Civil Engineering,2023,11.029,Active,cement,"Applicable to cement manufactured, tested, or sold"
IS 1259-2:2009,General requirem,Production and G,2009,30.077,Under Revision,engineering draw,Applicable to engineering drawing practices manufa
IS 2981-4:2007,Specification for,Electronics and I,2007,42.014,Withdrawn,semiconductor d,Applicable to semiconductor devices manufactured
IS 3805-3:1998,Classification an,Medical Equipme,1998,33.092,Active,diagnostic reage,"Applicable to diagnostic reagents manufactured, te"
IS 3924-3:2018,Specification for,Textile,2018,91.087,Withdrawn,jute products,"Applicable to jute products manufactured, tested, o"
IS 429-3:2012,Safety requireme,Management and,2012,17.025,Active,asset manageme,Applicable to asset management systems manufac
IS 1925-5:2004,Guidelines for lea,Chemical,2004,85.081,Under Revision,leather chemicals,"Applicable to leather chemicals manufactured, teste"
IS 4051:2008,Code of practice,Civil Engineering,2008,72.027,Under Revision,concrete mix des,"Applicable to concrete mix design manufactured, te"
IS 4036-6:2003,Safety requireme,Civil Engineering,2003,32.082,Under Revision,building lime,"Applicable to building lime manufactured, tested, or"
IS 4122-5:1996,Methods of test f,"Petroleum, Coal",1996,36.098,Active,compressed natu,Applicable to compressed natural gas manufacture
IS 1901-3:2012,Specification for,Chemical,2012,16.082,Withdrawn,petrochemical int,Applicable to petrochemical intermediates manufac
IS 447-5:2006,Quality requirem,Management and,2006,25.08,Withdrawn,energy managem,Applicable to energy management systems manufa
IS 602-2:2007,Methods of test f,Metallurgical Eng,2007,59.085,Under Revision,metal coatings,"Applicable to metal coatings manufactured, tested,"
IS 3012-5:1996,Methods of test f,Electronics and I,1996,30.063,Active,wireless commun,Applicable to wireless communication equipment m
IS 563-3:2020,Performance req,Metallurgical Eng,2020,98.02,Withdrawn,forged componen,"Applicable to forged components manufactured, tes"
IS 362-3:2016,Quality requirem,Mechanical Engi,2016,72.053,Under Revision,welding electrode,"Applicable to welding electrodes manufactured, tes"
IS 4057:2008,Code of practice,Civil Engineering,2008,42.057,Withdrawn,tiles and flooring,"Applicable to tiles and flooring manufactured, tested"
IS 1272:1992,Methods of test f,Production and G,1992,98.015,Active,ergonomic desig,Applicable to ergonomic design of workstations ma
IS 3835-5:2002,Safety requireme,Medical Equipme,2002,33.064,Active,hospital beds,"Applicable to hospital beds manufactured, tested, o"
IS 1901-3:2018,Specification for,Chemical,2018,16.082,Withdrawn,petrochemical int,Applicable to petrochemical intermediates manufac
IS 4050-2:2023,General requirem,Civil Engineering,2023,86.043,Active,reinforcement ba,"Applicable to reinforcement bars manufactured, tes"
IS 4046-6:2001,Classification an,Civil Engineering,2001,32.089,Under Revision,building lime,"Applicable to building lime manufactured, tested, or"
IS 1918-6:1999,Quality requirem,Chemical,1999,19.091,Active,cleaning agents,"Applicable to cleaning agents manufactured, tested"
IS 841-4:2015,Performance req,Electrotechnical,2015,90.085,Under Revision,circuit breakers,"Applicable to circuit breakers manufactured, tested"
IS 449-3:1996,Code of practice,Management and,1996,17.058,Active,asset manageme,Applicable to asset management systems manufac
IS 3702:2018,Safety requireme,Transport Engine,2018,34.078,Under Revision,helmets for two w,Applicable to helmets for two wheelers manufacture
IS 3946-5:2018,Sampling and tes,Textile,2018,32.049,Active,woven fabrics,"Applicable to woven fabrics manufactured, tested, o"
IS 4110-5:1992,Code of practice,"Petroleum, Coal",1992,40.029,Under Revision,petroleum jelly,"Applicable to petroleum jelly manufactured, tested,"
IS 1928-6:2011,Methods of test f,Chemical,2011,19.016,Active,cleaning agents,"Applicable to cleaning agents manufactured, tested"
IS 2987-2:1997,Classification an,Electronics and I,1997,30.07,Active,wireless commun,Applicable to wireless communication equipment m
IS 1931-3:2014,Methods of test f,Chemical,2014,16.074,Withdrawn,petrochemical int,Applicable to petrochemical intermediates manufac
IS 378-3:2008,Methods of test f,Mechanical Engi,2008,53.038,Withdrawn,hand tools,"Applicable to hand tools manufactured, tested, or s"
IS 565-3:2006,Safety requireme,Metallurgical Eng,2006,34.061,Active,steel tubes and p,"Applicable to steel tubes and pipes manufactured, t"
IS 3793-5:2008,Specification for,Medical Equipme,2008,76.047,Withdrawn,X-ray equipment,"Applicable to X-ray equipment manufactured, teste"
IS 458-6:2005,Methods of test f,Management and,2005,50.021,Active,information secu,Applicable to information security management ma
IS 2977-6:2009,Specification for,Electronics and I,2009,94.097,Active,laptop batteries,"Applicable to laptop batteries manufactured, tested"
IS 565-5:2008,Classification an,Metallurgical Eng,2008,68.06,Active,aluminium alloys,"Applicable to aluminium alloys manufactured, teste"
IS 812-5:2020,General requirem,Electrotechnical,2020,22.058,Withdrawn,electric motors,"Applicable to electric motors manufactured, tested,"
IS 3689-6:1999,Methods of test f,Transport Engine,1999,84.078,Active,railway coach fitt,"Applicable to railway coach fittings manufactured, t"
IS 3682-3:2016,Quality requirem,Transport Engine,2016,49.075,Under Revision,child safety seats,"Applicable to child safety seats manufactured, teste"
IS 3017-4:1995,Safety requireme,Electronics and I,1995,39.019,Active,mobile phone ch,Applicable to mobile phone chargers manufactured
IS 1838-2:2015,Quality requirem,Water Resources,2015,65.062,Under Revision,groundwater rech,Applicable to groundwater recharge structures man
IS 1280-5:2016,Performance req,Production and G,2016,86.092,Withdrawn,industrial gloves,"Applicable to industrial gloves manufactured, tested"
IS 1765-6:1993,Code of practice,Food and Agricu,1993,36.088,Withdrawn,carbonated beve,"Applicable to carbonated beverages manufactured,"
IS 1923-3:2002,Guidelines for cle,Chemical,2002,19.064,Active,cleaning agents,"Applicable to cleaning agents manufactured, tested"
IS 565-3:1992,Safety requireme,Metallurgical Eng,1992,34.061,Active,steel tubes and p,"Applicable to steel tubes and pipes manufactured, t"
IS 818-3:2010,Code of practice,Electrotechnical,2010,17.051,Active,transformers,"Applicable to transformers manufactured, tested, or"
IS 570-2:2011,General requirem,Metallurgical Eng,2011,68.046,Active,aluminium alloys,"Applicable to aluminium alloys manufactured, teste"
IS 1249-4:1999,General requirem,Production and G,1999,25.018,Under Revision,ladders,"Applicable to ladders manufactured, tested, or sold"
IS 4102:2008,Quality requirem,"Petroleum, Coal",2008,83.051,Active,automotive fuels,"Applicable to automotive fuels manufactured, tested"
IS 1283-2:1999,Performance req,Production and G,1999,22.065,Active,material handling,Applicable to material handling equipment manufac
IS 1251-6:2021,General requirem,Production and G,2021,39.035,Active,safety helmets,"Applicable to safety helmets manufactured, tested,"
IS 3912:2004,Performance req,Textile,2004,85.021,Active,wool products,"Applicable to wool products manufactured, tested, o"
IS 1827-3:1990,Quality requirem,Water Resources,1990,93.092,Active,water meters,"Applicable to water meters manufactured, tested, o"
IS 1911:2008,Code of practice,Chemical,2008,50.012,Withdrawn,lubricating oils,"Applicable to lubricating oils manufactured, tested,"
IS 559-5:2002,Performance req,Metallurgical Eng,2002,25.029,Active,wire ropes,"Applicable to wire ropes manufactured, tested, or s"
IS 815-6:2007,Code of practice,Electrotechnical,2007,73.077,Active,switches and soc,"Applicable to switches and sockets manufactured, t"
IS 3953-4:2015,Performance req,Textile,2015,86.028,Under Revision,textile dyeing me,"Applicable to textile dyeing methods manufactured,"
IS 3791-5:2002,Safety requireme,Medical Equipme,2002,29.039,Active,medical thermom,"Applicable to medical thermometers manufactured,"
IS 1808-4:1993,Specification for,Water Resources,1993,75.068,Under Revision,sewage treatmen,Applicable to sewage treatment methods manufact
IS 4114-5:1998,Guidelines for fu,"Petroleum, Coal",1998,98.063,Active,furnace oil,"Applicable to furnace oil manufactured, tested, or s"
IS 1844-6:1991,Guidelines for de,Water Resources,1991,30.043,Withdrawn,desalination equ,Applicable to desalination equipment manufactured
IS 827-6:1993,Code of practice,Electrotechnical,1993,84.075,Withdrawn,electric geysers,"Applicable to electric geysers manufactured, tested"
IS 1755-6:2007,Classification an,Food and Agricu,2007,36.093,Withdrawn,carbonated beve,"Applicable to carbonated beverages manufactured,"
IS 3693-4:1995,Methods of test f,Transport Engine,1995,71.04,Withdrawn,automotive batte,"Applicable to automotive batteries manufactured, te"
IS 1898-2:2017,General requirem,Chemical,2017,29.068,Active,detergents and s,"Applicable to detergents and soaps manufactured,"
IS 579-5:2006,General requirem,Metallurgical Eng,2006,25.029,Active,wire ropes,"Applicable to wire ropes manufactured, tested, or s"
IS 3940:1994,Methods of test f,Textile,1994,94.034,Active,cotton yarn,"Applicable to cotton yarn manufactured, tested, or s"
IS 4115-4:2023,Methods of test f,"Petroleum, Coal",2023,73.082,Under Revision,coal and coke,"Applicable to coal and coke manufactured, tested, o"
IS 575-3:1998,Classification an,Metallurgical Eng,1998,34.069,Active,steel tubes and p,"Applicable to steel tubes and pipes manufactured, t"
IS 1849-5:2010,Performance req,Water Resources,2010,68.02,Withdrawn,borewell construc,"Applicable to borewell construction manufactured, t"
IS 382:2012,Safety requireme,Mechanical Engi,2012,69.042,Under Revision,gears and gearbo,"Applicable to gears and gearboxes manufactured, t"
IS 376-3:1994,Performance req,Mechanical Engi,1994,71.088,Active,bearings,"Applicable to bearings manufactured, tested, or sol"
IS 600-4:2009,Sampling and tes,Metallurgical Eng,2009,25.028,Active,ferro alloys,"Applicable to ferro alloys manufactured, tested, or s"
IS 587:2000,Guidelines for ca,Metallurgical Eng,2000,31.079,Under Revision,cast iron product,"Applicable to cast iron products manufactured, test"
IS 1928-2:2013,Performance req,Chemical,2013,29.016,Active,detergents and s,"Applicable to detergents and soaps manufactured,"
IS 1817:2002,Specification for,Water Resources,2002,98.036,Active,dam safety inspe,"Applicable to dam safety inspection manufactured,"
IS 3009-2:1993,Methods of test f,Electronics and I,1993,12.076,Active,information techn,Applicable to information technology equipment saf
IS 1278-5:2010,Sampling and tes,Production and G,2010,22.042,Active,material handling,Applicable to material handling equipment manufac
IS 3914:2010,Safety requireme,Textile,2010,36.099,Withdrawn,non-woven fabric,"Applicable to non-woven fabrics manufactured, test"
IS 1830-2:2023,Code of practice,Water Resources,2023,43.058,Active,effluent treatmen,"Applicable to effluent treatment manufactured, teste"
IS 375-6:1991,Methods of test f,Mechanical Engi,1991,39.082,Active,cranes and lifting,Applicable to cranes and lifting equipment manufac
IS 364:1994,Methods of test f,Mechanical Engi,1994,59.03,Active,pressure vessels,"Applicable to pressure vessels manufactured, teste"
IS 3703-2:1999,Safety requireme,Transport Engine,1999,49.023,Withdrawn,vehicle braking s,Applicable to vehicle braking systems manufacture
IS 1781-4:2009,Safety requireme,Food and Agricu,2009,51.027,Active,packaged drinkin,Applicable to packaged drinking water manufacture
IS 4043:2010,General requirem,Civil Engineering,2010,11.019,Active,cement,"Applicable to cement manufactured, tested, or sold"
IS 3831:2012,Methods of test f,Medical Equipme,2012,93.025,Active,orthopedic impla,"Applicable to orthopedic implants manufactured, te"
IS 3679-2:1995,Code of practice,Transport Engine,1995,26.036,Active,vehicle wiring ha,"Applicable to vehicle wiring harness manufactured,"
IS 580-2:2023,Quality requirem,Metallurgical Eng,2023,68.045,Active,aluminium alloys,"Applicable to aluminium alloys manufactured, teste"
IS 1892-4:2021,Classification an,Chemical,2021,85.095,Active,paints and varnis,"Applicable to paints and varnishes manufactured, te"
IS 3915-2:1991,Safety requireme,Textile,1991,99.062,Active,textile testing me,"Applicable to textile testing methods manufactured,"
